timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678900713437,392,jp@gc - WebDriver home page,200,OK,Users 1-1,text,true,,8531,0,4,4,http://192.168.1.3:3000/app/account/,0,0,0
1678900714333,253,jp@gc - WebDriver click account,200,OK,Users 1-1,text,true,,8531,0,4,4,http://192.168.1.3:3000/app/account,0,0,0
1678900713876,376,jp@gc - WebDriver home page,200,OK,Users 1-2,text,true,,8531,0,4,4,http://192.168.1.3:3000/app/account/,0,0,0
1678900714621,259,jp@gc - WebDriver click alias,200,OK,Users 1-1,text,true,,10054,0,4,4,http://192.168.1.3:3000/app/account/aliases,0,0,0
1678900714781,259,jp@gc - WebDriver click account,200,OK,Users 1-2,text,true,,8531,0,4,4,http://192.168.1.3:3000/app/account,0,0,0
1678900714903,263,jp@gc - WebDriver click account,200,OK,Users 1-1,text,true,,8840,0,4,4,http://192.168.1.3:3000/app/account,0,0,0
1678900714427,350,jp@gc - WebDriver home page,200,OK,Users 1-3,text,true,,8531,0,4,4,http://192.168.1.3:3000/app/account/,0,0,0
1678900715071,263,jp@gc - WebDriver click alias,200,OK,Users 1-2,text,true,,10054,0,4,4,http://192.168.1.3:3000/app/account/aliases,0,0,0
1678900715205,246,jp@gc - WebDriver click alias,200,OK,Users 1-1,text,true,,10054,0,4,4,http://192.168.1.3:3000/app/account/aliases,0,0,0
1678900715297,247,jp@gc - WebDriver click account,200,OK,Users 1-3,text,true,,8531,0,4,4,http://192.168.1.3:3000/app/account,0,0,0
1678900715363,239,jp@gc - WebDriver click account,200,OK,Users 1-2,text,true,,8840,0,4,4,http://192.168.1.3:3000/app/account,0,0,0
1678900715475,235,jp@gc - WebDriver click account,200,OK,Users 1-1,text,true,,8840,0,4,4,http://192.168.1.3:3000/app/account,0,0,0
1678900715562,234,jp@gc - WebDriver click alias,200,OK,Users 1-3,text,true,,10054,0,4,4,http://192.168.1.3:3000/app/account/aliases,0,0,0
1678900715620,237,jp@gc - WebDriver click alias,200,OK,Users 1-2,text,true,,10054,0,4,4,http://192.168.1.3:3000/app/account/aliases,0,0,0
1678900715729,233,jp@gc - WebDriver click alias,200,OK,Users 1-1,text,true,,10054,0,4,4,http://192.168.1.3:3000/app/account/aliases,0,0,0
1678900715285,361,jp@gc - WebDriver home page,200,OK,Users 1-4,text,true,,8515,0,4,4,http://192.168.1.3:3000/app/account/,0,0,0
1678900715814,233,jp@gc - WebDriver click account,200,OK,Users 1-3,text,true,,8840,0,4,4,http://192.168.1.3:3000/app/account,0,0,0
1678900715875,231,jp@gc - WebDriver click account,200,OK,Users 1-2,text,true,,8840,0,4,4,http://192.168.1.3:3000/app/account,0,0,0
1678900715981,236,jp@gc - WebDriver click account,200,OK,Users 1-1,text,true,,8840,0,4,4,http://192.168.1.3:3000/app/account,0,0,0
1678900715998,241,jp@gc - WebDriver click account,200,OK,Users 1-4,text,true,,8531,0,4,4,http://192.168.1.3:3000/app/account,0,0,0
1678900716065,240,jp@gc - WebDriver click alias,200,OK,Users 1-3,text,true,,10054,0,4,4,http://192.168.1.3:3000/app/account/aliases,0,0,0
