timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678894939571,381,jp@gc - WebDriver home page,200,OK,Users 1-1,text,true,,5737,0,4,4,http://192.168.1.3:3000/,0,0,0
1678894940405,303,jp@gc - WebDriver click account,200,OK,Users 1-1,text,true,,10913,0,4,4,http://192.168.1.3:3000/app/account,0,0,0
1678894940740,265,jp@gc - WebDriver click alias,200,OK,Users 1-1,text,true,,13638,0,4,4,http://192.168.1.3:3000/app/account/aliases,0,0,0
1678894940042,520,jp@gc - WebDriver home page,200,OK,Users 1-2,text,true,,10904,0,4,4,http://192.168.1.3:3000/app/account,0,0,0
1678894941033,255,jp@gc - WebDriver click account,200,OK,Users 1-1,text,true,,11801,0,4,4,http://192.168.1.3:3000/app/account,0,0,0
1678894941073,293,jp@gc - WebDriver click account,200,OK,Users 1-2,text,true,,10913,0,4,4,http://192.168.1.3:3000/app/account,0,0,0
1678894940610,542,jp@gc - WebDriver home page,200,OK,Users 1-3,text,true,,5737,0,4,4,http://192.168.1.3:3000/,0,0,0
1678894941312,278,jp@gc - WebDriver click alias,200,OK,Users 1-1,text,true,,13638,0,4,4,http://192.168.1.3:3000/app/account/aliases,0,0,0
1678894941610,13,jp@gc - WebDriver click account,500,"Unable to locate element: a[href=""/app/account""]
For documentation on this error, please visit: http://seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.14.0', revision: 'aacccce0', time: '2018-08-02T20:19:58.91Z'
System info: host: 'bthomas-XPS13', ip: '127.0.1.1', os.name: 'Linux', os.arch: 'amd64', os.version: '5.15.0-67-generic', java.version: '11.0.18'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: false, browserName: firefox, browserVersion: 111.0, javascriptEnabled: true, moz:accessibilityChecks: false, moz:buildID: 20230309232128, moz:geckodriverVersion: 0.32.2, moz:headless: false, moz:platformVersion: 5.15.0-67-generic, moz:processID: 27116, moz:profile: /tmp/rust_mozprofileUY9dES, moz:shutdownTimeout: 60000, moz:useNonSpecCompliantPointerOrigin: false, moz:webdriverClick: true, moz:windowless: false, pageLoadStrategy: normal, platform: LINUX, platformName: LINUX, proxy: Proxy(direct), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: 4900dae7-f9db-462e-a6d4-8e68efc3bd0c
*** Element info: {Using=css selector, value=a[href=""/app/account""]}",Users 1-3,text,false,,4030,0,4,4,null,0,0,0
1678894940863,402,jp@gc - WebDriver home page,200,OK,Users 1-4,text,true,,5737,0,4,4,http://192.168.1.3:3000/,0,0,0
1678894941386,267,jp@gc - WebDriver click alias,200,OK,Users 1-2,text,true,,13638,0,4,4,http://192.168.1.3:3000/app/account/aliases,0,0,0
1678894941643,30,jp@gc - WebDriver click alias,500,"Unable to locate element: a[href=""/app/account/aliases""]
For documentation on this error, please visit: http://seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.14.0', revision: 'aacccce0', time: '2018-08-02T20:19:58.91Z'
System info: host: 'bthomas-XPS13', ip: '127.0.1.1', os.name: 'Linux', os.arch: 'amd64', os.version: '5.15.0-67-generic', java.version: '11.0.18'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: false, browserName: firefox, browserVersion: 111.0, javascriptEnabled: true, moz:accessibilityChecks: false, moz:buildID: 20230309232128, moz:geckodriverVersion: 0.32.2, moz:headless: false, moz:platformVersion: 5.15.0-67-generic, moz:processID: 27116, moz:profile: /tmp/rust_mozprofileUY9dES, moz:shutdownTimeout: 60000, moz:useNonSpecCompliantPointerOrigin: false, moz:webdriverClick: true, moz:windowless: false, pageLoadStrategy: normal, platform: LINUX, platformName: LINUX, proxy: Proxy(direct), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: 4900dae7-f9db-462e-a6d4-8e68efc3bd0c
*** Element info: {Using=css selector, value=a[href=""/app/account/aliases""]}",Users 1-3,text,false,,4046,0,4,4,null,0,0,0
